,Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,Latitud,Longitud
1180,santa fe,9 de julio,villa minetti,4876,no,no,no,no,si,si,si,si,si,-28.6247095403571,-61.6279859869967
1181,santa fe,belgrano,armstrong,11181,si,no,no,si,no,si,si,si,si,-32.7846557002825,-69.16338110043553
1182,santa fe,belgrano,bouquet,1230,si,no,no,no,no,si,si,no,si,-32.4247998561473,-61.8903345863257
1183,santa fe,belgrano,las parejas,12375,si,no,no,si,no,si,si,si,si,-32.6826842550048,-61.5185798347876
1184,santa fe,belgrano,las rosas,13068,si,si,no,si,no,si,si,si,si,-32.4785768176046,-61.5748036822531
1185,santa fe,belgrano,montes de oca,2655,si,no,no,no,si,si,si,no,si,-35.538123044154304,-61.7680762352029
1186,santa fe,belgrano,tortugas,2234,si,no,no,no,si,no,si,si,si,-32.7482982621557,-61.8203359267394
1187,santa fe,caseros,arequito,6533,si,si,no,no,no,no,si,si,si,-33.1483008378636,-61.4713349349693
1188,santa fe,caseros,arteaga,3089,si,si,no,no,no,si,si,si,si,-33.0911311154911,-61.7917113876172
1189,santa fe,caseros,beravebú,2225,no,no,no,no,no,si,si,si,si,-33.3414152210784,-61.8622809808056
1190,santa fe,caseros,bigand,4939,si,si,no,no,no,no,si,si,si,-33.3761183026397,-69.12138304374614
1191,santa fe,caseros,casilda,34703,si,si,no,si,no,si,si,si,si,-33.0424955546762,-61.1693311184421
1192,santa fe,caseros,chabás,6871,si,no,no,si,no,si,si,si,si,-33.2470674643201,-61.3575935561826
1193,santa fe,caseros,chañar ladeado,5415,si,si,no,si,no,no,si,si,si,-33.3258409849243,-62.0386496702618
1194,santa fe,castellanos,bauer y sigel,290,si,no,no,no,no,si,si,no,no,-31.2731232182116,-61.9448854961658
1195,santa fe,castellanos,bella italia,1070,si,si,no,si,no,si,si,si,si,-31.2839795053037,-69.14376716453833
1196,santa fe,castellanos,castellanos,226,no,si,no,no,no,si,si,no,no,-31.2085396563705,-61.7255955564221
1197,santa fe,castellanos,colonia bicha,187,si,no,no,si,no,no,no,no,si,-35.366901455512604,-61.8509147420168
1198,santa fe,castellanos,colonia cello,118,no,no,no,no,no,si,si,no,si,-31.4338497252165,-61.8417021711297
1199,santa fe,castellanos,colonia margarita,269,no,si,no,no,no,no,si,no,no,-31.6868334221829,-61.6492968757313
1200,santa fe,castellanos,colonia raquel,123,si,no,no,si,no,si,si,no,no,-30.8392235567556,-61.4897111638226
1201,santa fe,castellanos,coronel fraga,330,no,no,no,no,no,si,si,no,no,-35.3989392038194,-61.9194620018005
1202,santa fe,castellanos,egusquiza,279,no,no,no,no,no,no,no,no,si,-35.39108581686111,-61.6283124096055
1203,santa fe,castellanos,esmeralda,594,no,si,no,no,no,no,si,no,si,-31.6178586482318,-61.9329258733186
1204,santa fe,castellanos,estación clucellas,782,no,si,no,no,no,si,si,no,si,-32.59656503362441,-61.7206457133884
1205,santa fe,castellanos,estacion presidente roca,0,no,no,no,no,no,no,no,no,no,-31.2319180453244,-61.6101076012158
1206,santa fe,castellanos,estación saguier,105,no,si,no,no,no,si,no,no,no,-31.3174603823906,-61.6940034650798
1207,santa fe,castellanos,eusebia y carolina,746,si,no,no,si,no,no,no,no,si,-30.9476135702694,-61.8577735272139
1208,santa fe,castellanos,eustolia,22,no,no,no,no,no,si,no,no,no,-31.5777448514157,-61.7836661825715
1209,santa fe,castellanos,frontera,10520,no,no,no,no,no,si,no,si,si,-31.4313990849769,-62.0634917387843
1210,santa fe,castellanos,garibaldi,142,no,no,no,no,no,no,si,no,no,-35.44652611475801,-61.8053907511433
1211,santa fe,general lópez,lazzarino,350,no,no,no,no,no,no,no,no,si,-34.1663295663381,-69.24563671548553
1212,san luis,general pedernera,villa mercedes,111391,si,si,si,si,no,si,si,si,si,-33.6738636408858,-65.4624765290195
1213,san luis,general pedernera,villa reynolds,647,no,no,no,no,no,no,no,si,si,-35.65361952714821,-65.3814163660133
1214,san luis,general pedernera,villa salles,76,no,no,no,no,no,si,no,no,no,-32.619752621624,-65.2147610955176
1215,san luis,gobernador dupuy,anchorena,631,no,no,si,no,no,si,si,no,si,-35.6746450244219,-65.4244230509371
1216,san luis,gobernador dupuy,arizona,1040,no,no,si,no,no,si,si,no,si,-35.7229145031177,-65.3187210360081
1217,san luis,gobernador dupuy,bagual,230,no,no,no,no,no,si,si,no,no,-35.1448484513353,-65.5676652450981
1218,san luis,gobernador dupuy,batavia,349,no,no,no,no,si,si,si,no,no,-34.7755332557227,-65.6862987148176
1219,san luis,gobernador dupuy,buena esperanza,2933,no,no,si,no,si,si,si,no,si,-34.7582787968944,-65.2503691694475
1220,san luis,gobernador dupuy,fortín el patria,480,no,no,no,no,si,si,si,no,si,-35.758298993699405,-65.5229345175781
1221,san luis,gobernador dupuy,fortuna,82,no,no,si,no,si,si,si,no,no,-35.1282918635603,-65.3818218917708
1222,san luis,gobernador dupuy,la maroma,14,no,no,no,no,si,no,si,no,no,-35.2127003045126,-66.3264252245578
1223,san luis,gobernador dupuy,los overos,24,no,no,no,no,no,no,no,no,no,-35.8808971047928,-66.4450142548098
1224,san luis,gobernador dupuy,martín de loyola,78,no,no,no,no,si,si,no,no,no,-35.7111681131223,-66.3525275844943
1225,san luis,gobernador dupuy,nahuel mapá,66,no,no,no,no,no,si,si,no,no,-34.7833678660504,-66.1701498297947
1226,san luis,gobernador dupuy,navia,205,no,no,no,no,si,si,no,no,no,-34.7726733665409,-66.5862788668642
1227,san luis,gobernador dupuy,nueva galia,1353,no,no,no,no,no,si,si,no,si,-35.1124747000615,-65.2532109154966
1228,santa fe,castellanos,humberto primo,4751,si,si,no,si,no,si,si,si,si,-30.8702088524931,-61.3485902390711
1229,santa fe,castellanos,josefina,676,si,si,no,no,no,si,si,si,si,-31.4079691369305,-61.9921847239399
1230,santa fe,castellanos,lehmann,2416,si,si,no,si,no,si,si,si,si,-31.1272471029986,-61.4529569120506
1231,santa fe,castellanos,maría juana,4853,si,si,no,si,no,si,si,si,si,-35.448986099494505,-61.7536009774385
1232,santa fe,castellanos,nueva lehmann,90,no,no,no,no,no,no,no,no,no,-31.1189046819859,-61.5151982929847
1233,santa fe,castellanos,plaza clucellas,1530,si,si,no,no,no,no,si,si,si,-31.4545505198837,-61.7074756228147
1234,santa fe,castellanos,plaza saguier,262,no,si,no,no,no,no,no,no,si,-31.3251049515902,-61.6777373324018
1235,santa fe,castellanos,presidente roca,524,no,si,no,si,no,si,si,no,si,-31.2296979058147,-61.6101036240639
1236,santa fe,castellanos,pueblo marini,51,no,no,no,no,no,si,no,no,no,-31.0409745475723,-61.8898826370338
1237,santa fe,castellanos,rafaela,91571,si,si,no,si,si,si,si,si,si,-31.2482482413205,-61.4998117939868
1238,santa fe,castellanos,ramona,1694,si,no,no,no,no,si,si,si,si,-31.0937041766842,-61.9032318673573
1239,santa fe,castellanos,san antonio,272,no,si,no,no,no,si,no,no,no,-31.2128134181244,-61.7257200007794
1240,santa fe,castellanos,san vicente,5655,si,si,no,no,no,si,si,si,si,-31.6999505604131,-61.5688417180763
1241,santa fe,castellanos,santa clara de saguier,2117,si,si,no,no,no,si,si,no,si,-35.415059247084,-61.8181783780784
1242,santa fe,castellanos,sunchales,20537,si,si,no,si,no,si,si,si,si,-30.9468555127161,-61.5612504315515
1243,santa fe,castellanos,susana,1002,no,no,no,si,no,si,si,si,si,-31.3575963913649,-61.5164389963223
1244,santa fe,castellanos,tacural,1169,si,no,no,si,no,no,si,si,si,-30.8481071493852,-61.5924018154956
1245,santa fe,castellanos,vila,1405,si,no,no,no,no,no,si,si,si,-31.1923707919053,-61.8336140985666
1246,santa fe,castellanos,villa josefina,112,no,no,no,no,no,no,no,no,no,-31.4418599622731,-62.0297169711427
1247,santa fe,castellanos,villa san josé,220,no,si,no,no,no,si,si,no,no,-31.3391346339244,-69.16509175135563
1248,santa fe,castellanos,virginia,151,no,no,no,no,no,si,no,no,no,-30.7402529602428,-61.3409665931228
1249,santa fe,castellanos,zenón pereyra,1637,no,si,no,no,no,no,no,si,si,-31.5643972137494,-69.19267541880413
1250,santa fe,constitución,alcorta,7450,si,si,no,si,no,si,si,si,si,-33.5401979791092,-61.1246337163915
1251,santa fe,constitución,barrio arroyo del medio,310,no,no,no,no,no,no,no,no,no,-33.2860666179194,-60.2720977056001
1252,santa fe,constitución,barrio mitre,816,no,no,no,no,no,no,no,si,si,-35.606882805978806,-60.3897758707887
1253,santa fe,constitución,bombal,3137,si,si,no,si,no,no,si,si,si,-33.4600615218579,-61.3189324391797
1254,santa fe,constitución,cañada rica,641,no,no,no,no,no,no,si,no,si,-33.5174175561246,-60.6132968867711
1255,santa fe,constitución,cepeda,349,no,no,no,no,no,si,no,no,no,-33.3984208661427,-60.6241114199013
1256,santa fe,constitución,empalme villa constitución,6241,si,no,no,no,no,no,si,no,si,-33.2628625471248,-60.3804644639294
1257,santa fe,constitución,firmat,28,no,no,no,no,no,no,no,no,no,-35.6254256949053,-69.15014725490994
1258,santa fe,constitución,general gelly,610,si,no,no,no,no,si,no,no,si,-33.6018434911159,-60.5989383522422
1259,santa fe,constitución,godoy,1189,no,no,no,no,no,si,si,si,si,-33.3697098731789,-60.5094130215383
1260,santa fe,constitución,juan b. molina,1265,si,no,no,no,no,si,si,si,si,-35.630925411118504,-60.5122133295946
1261,santa fe,constitución,juncal,941,si,no,no,si,no,si,si,no,no,-32.618499491532106,-61.0500179215707
1262,santa fe,constitución,la vanguardia,385,no,no,no,si,no,no,si,no,no,-33.3596257970974,-60.6584568664422
1263,santa fe,constitución,máximo paz (est. paz),3441,si,si,no,no,no,si,si,si,si,-33.4851439474937,-60.9567885809825
1264,santa fe,constitución,pavón,876,si,no,no,no,no,no,si,si,si,-33.2430754805422,-60.4062757935089
1265,santa fe,constitución,pavón arriba,1834,no,no,no,si,no,si,si,si,si,-33.3134173933438,-60.8249758944661
1266,santa fe,constitución,peyrano,2517,no,si,no,no,no,no,si,no,si,-33.5411378598405,-69.08326586859633
1267,santa fe,constitución,rueda,471,no,no,no,no,no,si,si,no,no,-35.6149088516686,-60.4608740548372
1268,santa fe,constitución,santa teresa,3039,si,si,no,si,no,si,si,si,si,-33.4385471621789,-60.7911542772276
1269,santa fe,constitución,sargento cabral,1007,no,no,no,si,no,si,si,no,si,-33.4330128597835,-60.6301906902003
1270,santa fe,constitución,stephenson,54,no,no,no,no,no,no,no,no,si,-33.4178567628002,-60.5572137324943
1271,santa fe,constitución,theobald,421,no,no,no,no,no,no,si,no,si,-33.3122172562755,-60.3120513587534
1272,santa fe,constitución,villa constitución,47374,si,si,no,si,no,si,si,si,si,-33.2324133911798,-60.3324988273466
1273,santa fe,garay,cayastá,3367,no,no,no,no,no,si,si,si,si,-31.2023253009306,-60.1614504193394
1274,santa fe,garay,helvecia,5756,no,si,no,no,no,si,si,no,si,-31.0992706781177,-60.0881512872483
1275,santa fe,garay,los zapallos,873,no,si,no,no,no,no,si,no,si,-31.4956365531425,-60.4286467714748
1276,santa fe,garay,saladero mariano cabal,588,no,no,no,no,si,si,si,no,si,-30.9229849971234,-60.0481154588667
1277,santa fe,garay,santa rosa de calchines,3435,si,si,no,no,no,no,si,si,si,-35.42355990135851,-60.3348940800468
1278,santa fe,general lópez,aarón castellanos (est. castellanos),236,no,no,no,no,no,si,si,no,si,-34.3345323396045,-62.3748007656351
1279,santa fe,general lópez,amenábar,1605,si,no,no,no,no,si,si,si,si,-35.694935186209406,-62.4229084851079
1280,santa fe,general lópez,cafferata,1449,si,no,no,si,no,no,no,si,si,-33.4414158758935,-62.0868714692657
1281,san juan,jáchal,san josé de jáchal,10940,no,no,si,si,si,si,si,si,si,-30.2427672850044,-68.7454934559357
1282,san juan,jáchal,tamberías,622,no,no,no,no,no,si,si,no,no,-30.1822864487075,-68.7277857836372
1283,san juan,jáchal,villa malvinas argentinas,340,no,no,no,no,no,si,no,no,no,-30.2142413595614,-68.7165558327867
1284,san juan,jáchal,villa mercedes,1439,no,no,no,no,si,si,si,no,si,-30.1088721898605,-68.7009429184891
1285,san juan,pocito,barrio municipal,973,no,no,no,no,no,no,no,no,no,-31.7523486776689,-68.5597213740804
1286,san juan,pocito,barrio ruta 40,231,no,no,no,no,no,si,no,si,si,-31.8595308229437,-68.5345166485174
1287,san juan,pocito,carpintería,1134,no,no,no,no,no,si,si,no,si,-31.8301409850684,-68.5420989256398
1288,san juan,pocito,la rinconada,0,no,no,no,no,no,no,no,si,si,-31.6952378674877,-68.5923025771378
1289,san juan,pocito,las piedritas,588,no,no,no,no,no,no,no,no,no,-35.444270774350805,-68.6080765638159
1290,san juan,pocito,quinto cuartel,1661,no,no,no,no,no,si,si,si,si,-31.6140359426027,-68.6001745092873
1291,san juan,pocito,villa aberastain,0,no,no,no,no,no,si,no,si,si,-32.597893469853204,-69.86019380765964
1292,san juan,pocito,villa aberastain - la rinconada,15409,si,no,si,no,si,si,si,no,no,-31.6952378674877,-68.5923025771378
1293,san juan,pocito,villa barbosa - villa nacusi,24240,no,no,no,no,no,si,no,si,si,-31.6219383886537,-68.5359580395485
1294,san juan,pocito,villa barboza,0,no,no,no,no,no,no,no,si,si,-31.5921799746836,-68.5723924425069
1295,san juan,pocito,villa centenario,778,no,no,no,no,no,si,no,si,si,-35.448163612446805,-68.5222919302359
1296,san juan,pocito,villa nacusi,0,no,no,no,no,no,no,no,no,no,-31.6219383886537,-68.5359580395485
1297,san juan,rawson,el medanito,0,no,no,no,no,no,si,no,si,no,-35.43967159503641,-68.4697872532749
1298,santa fe,general lópez,cañada del ucle,698,si,no,no,no,no,si,si,no,no,-33.4103440716357,-61.6070433975613
1299,santa fe,general lópez,carmen,1611,no,no,no,no,no,si,si,si,si,-33.7327788629688,-61.7609271479419
1300,santa fe,general lópez,carreras,1906,no,si,no,no,no,si,si,si,si,-33.5982834566103,-61.3117684362059
1301,santa fe,general lópez,chapuy,571,no,si,no,no,no,no,si,si,si,-33.8005299368969,-61.7440181936851
1302,santa fe,general lópez,chovet,2101,no,si,no,no,si,no,si,si,si,-33.6007825133126,-61.6046646604986
1303,santa fe,general lópez,christophersen,499,no,no,no,si,no,si,si,no,si,-34.1846191181657,-62.0235323680591
1304,santa fe,general lópez,diego de alvear,1855,si,no,no,si,no,si,si,si,si,-34.3743429234538,-62.1289273623308
1305,santa fe,general lópez,elortondo,5632,si,no,no,no,no,no,si,si,si,-33.7016560168056,-61.6163727056605
1306,santa fe,general lópez,firmat,19757,si,si,no,si,no,no,si,si,si,-33.4580496833225,-61.4914525089409
1307,santa fe,general lópez,hughes,4598,no,no,no,si,no,no,si,si,si,-33.8028556653324,-61.3358033222625
1308,santa fe,general lópez,la chispa,352,no,no,no,no,no,si,si,no,no,-33.5446704008322,-61.9736324283312
1309,santa fe,general lópez,labordeboy,928,si,no,no,no,no,no,si,no,si,-33.7196527453715,-61.3149208168028
1310,salta,la candelaria,el tala,2632,no,no,no,si,si,si,si,si,si,-26.1208917578309,-65.2873058787689
1311,salta,la candelaria,la candelaria,649,no,no,no,si,no,no,si,no,si,-26.0961790089843,-65.0610119525095
1312,salta,la poma,cobres,143,no,no,no,no,no,no,no,no,no,-23.6391998500842,-66.2684039729566
1313,salta,la poma,la poma,614,no,no,no,si,no,si,no,no,no,-24.7129010493055,-66.1997385176463
1314,salta,la viña,ampascachi,118,no,no,no,no,no,si,no,no,no,-34.8168688935757,-65.5323044668329
1315,salta,la viña,cabra corral,27,no,no,no,no,no,si,no,no,si,-34.81032701288541,-63.65671076642724
1316,salta,la viña,coronel moldes,4116,si,no,no,no,si,si,si,si,si,-25.2889404681421,-65.4745373510335
1317,salta,la viña,la viña,1825,no,no,no,si,si,si,si,no,si,-25.4719724619835,-65.5719838890076
1318,salta,la viña,talapampa,341,no,no,no,no,no,si,no,no,no,-25.5463746287562,-69.55880020090143
1319,salta,los andes,olacapato,218,no,no,no,si,si,si,no,no,no,-24.1197745515994,-66.7142594000385
1320,salta,los andes,san antonio de los cobres,4763,no,no,no,si,si,si,si,no,si,-24.2099310029638,-69.63437651253544
1321,salta,los andes,santa rosa de los pastos grandes,168,no,no,no,si,no,si,no,no,no,-34.72913391986351,-66.6785400667592
1322,salta,los andes,tolar grande,230,no,no,no,si,si,si,no,no,si,-24.5579851944765,-67.4369653675359
1323,salta,metán,el galpón,5675,si,no,no,si,si,no,si,si,si,-25.3915864503967,-64.6595062933993
1324,salta,metán,el tunal,0,no,no,no,si,si,no,no,no,si,-25.2652645771513,-64.4061042227155
1325,salta,metán,lumbreras,297,no,no,no,si,no,no,no,no,no,-25.2172575790264,-64.9306861458005
1326,salta,grl. josé de san martín,padre lozano,513,no,no,no,no,no,no,no,no,si,-34.602895822507804,-63.8426467906727
1327,salta,grl. josé de san martín,piquirenda,505,no,no,no,si,no,no,no,no,no,-22.3335490812005,-63.7596847135861
1328,salta,grl. josé de san martín,profesor salvador mazza,18899,si,no,no,si,si,no,si,si,si,-22.0542634419099,-63.6872829649674
1329,salta,grl. josé de san martín,recaredo,108,no,no,no,no,no,no,no,no,no,-22.4497652091167,-63.8856192155364
1330,salta,grl. josé de san martín,tartagal,63196,si,si,no,si,si,si,si,si,si,-22.5098645099451,-63.7970472996098
1331,salta,grl. josé de san martín,tobantirenda,849,no,no,no,si,no,no,no,no,no,-32.50270666684881,-63.7061819675909
1332,salta,grl. josé de san martín,tranquitas,1052,no,no,no,no,no,no,no,no,no,-22.4076174158757,-63.7681399387898
1333,salta,grl. josé de san martín,yacuy,1686,no,no,no,si,no,no,no,no,si,-22.3765769868638,-63.7654304903786
1334,salta,guachipas,guachipas,2073,no,no,no,si,si,si,si,no,si,-25.5235484724461,-65.5187644501144
1335,salta,iruya,iruya,1523,no,no,no,si,no,si,no,no,no,-22.7789158765788,-65.2063598136374
1336,salta,iruya,isla de cañas,1295,no,no,no,no,no,si,no,no,si,-22.8864200252899,-64.6573757192202
1337,salta,iruya,pueblo viejo,155,no,no,no,si,no,no,no,no,no,-22.8263430234688,-65.2018356755618
1338,salta,la caldera,la caldera,2186,no,no,no,si,si,si,si,si,si,-24.6049486234217,-65.3823377302988
1339,salta,la caldera,vaqueros,4575,si,no,no,si,no,si,si,si,si,-24.6945211920197,-65.4026944187147
1340,salta,la candelaria,el jardín,1221,no,no,no,si,si,no,si,no,si,-26.0938834199791,-63.65697132834993
1341,salta,metán,metán viejo,377,no,no,no,si,si,no,no,no,si,-25.5418039517985,-64.9849385087879
1342,salta,metán,presa el tunal,518,no,no,no,no,no,no,no,no,no,-25.2652645771512,-64.4061042227154
1343,salta,metán,río piedras,1420,si,no,no,si,si,no,si,si,si,-25.3211818761179,-69.49456585521133
1344,salta,metán,san josé de metán,28295,si,si,no,si,si,no,si,si,si,-25.5077205377148,-64.9821245409304
1345,salta,metán,san josé de orquera,155,no,no,no,si,no,no,no,no,no,-25.2783094165373,-64.0850561648465
1346,salta,molinos,la puerta,386,no,no,no,no,no,no,no,no,no,-25.2804538149509,-66.4508396566503
1347,salta,molinos,molinos,1183,si,no,no,si,no,si,si,no,si,-25.4442432937572,-66.3088500894253
1348,salta,molinos,seclantás,560,no,no,no,si,si,si,si,no,si,-25.3305099574445,-66.2484466228606
1349,salta,orán,aguas blancas,2395,no,no,no,no,si,si,si,no,si,-22.7245611902241,-69.43746483476613
1350,salta,orán,colonia santa rosa,15562,no,si,no,no,si,si,si,si,si,-23.3885957203176,-64.4234333229489
1351,salta,orán,el tabacal,1143,no,si,no,si,no,no,si,no,si,-23.2500270361093,-64.2445058938392
1352,salta,orán,hipólito yrigoyen,10196,si,si,no,si,si,si,si,si,si,-23.2382702479068,-64.2718125360107
1353,salta,orán,la misión,0,no,no,no,no,no,no,no,no,no,-23.3154629033465,-64.4077092056574
1354,salta,orán,pichanal,22439,si,si,no,si,si,no,si,si,si,-23.3133896525098,-69.42480809685934
1355,santa fe,general lópez,maggiolo,1701,si,no,no,no,no,si,si,si,si,-33.7244236308417,-62.2478391856324
1356,santa fe,general lópez,maría teresa,3523,si,si,no,no,no,si,si,si,si,-34.0062849828557,-69.19287688026954
1357,santa fe,general lópez,melincué (est. san urbano),2139,no,no,no,no,no,si,si,si,si,-33.6619144262235,-61.4576887408087
1358,santa fe,general lópez,miguel torres,373,no,si,no,no,no,no,no,no,no,-33.5299502620402,-61.4662068731284
1359,santa fe,general lópez,murphy,3630,no,no,no,si,no,no,si,si,si,-33.6428623685969,-61.8577974691015
1360,santa fe,general lópez,rufino,18727,si,si,no,si,no,no,si,si,si,-34.2636098414032,-62.7117038844931
1361,santa fe,general lópez,san eduardo,928,si,no,no,si,no,no,si,no,si,-33.8723970130663,-62.0917158307714
1362,santa fe,general lópez,san francisco de santa fe,279,no,no,no,si,si,no,si,no,si,-33.5905400040189,-62.1244693933144
1363,santa fe,general lópez,san gregorio,4291,si,no,no,si,no,si,si,si,si,-34.3265186547551,-62.0379529693876
